                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4532,                 6.1865,                 5.3945,                0.00067,                  0.125,                0.00044,                0.00013,                 3.7973,                 4.6852,                 4.1581,                 0.0847,                 0.0017,                 0.0017
                      2,                  4.313,                  5.647,                 5.2766,                0.00067,                  0.125,                0.00045,                0.00013,                 3.7967,                 4.6747,                 4.1581,               0.067807,               0.002807,               0.002807
                      3,                 4.2783,                 5.0736,                 5.0362,                0.00067,                  0.125,                0.00049,                0.00014,                 3.8019,                 4.6742,                  4.159,               0.050201,              0.0032012,              0.0032012
                      4,                 4.3259,                 6.3776,                 5.2746,                0.00067,                  0.125,                0.00048,                0.00014,                 3.8021,                 4.7124,                 4.1628,               0.031883,              0.0028826,              0.0028826
                      5,                 4.4681,                 5.7725,                 5.0563,                0.00067,                  0.125,                0.00044,                0.00013,                 3.8089,                 4.7304,                 4.1645,               0.012851,              0.0018512,              0.0018512
