                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.2017,                0.69945,                 1.0594,                0.89288,                0.84185,                0.92392,                0.61679,                 1.1583,                0.59953,                 1.0095,               0.006634,               0.006634,               0.006634
                     37,                 1.1914,                0.69156,                 1.0568,                0.90464,                0.83302,                0.92337,                0.61676,                 1.1564,                0.60553,                 1.0142,               0.006535,               0.006535,               0.006535
                     38,                 1.1944,                 0.6917,                 1.0548,                0.89475,                0.84349,                0.92448,                0.61893,                  1.151,                0.59946,                 1.0087,               0.006436,               0.006436,               0.006436
                     39,                  1.189,                0.68861,                 1.0533,                0.90335,                0.83939,                0.92594,                0.61887,                 1.1569,                0.59879,                 1.0111,               0.006337,               0.006337,               0.006337
                     40,                   1.19,                 0.6901,                 1.0542,                0.89985,                0.84162,                0.92615,                0.61979,                 1.1545,                0.59428,                 1.0086,               0.006238,               0.006238,               0.006238
                     41,                 1.1875,                0.68574,                  1.051,                0.90106,                 0.8374,                0.92656,                0.62086,                  1.149,                0.59215,                 1.0085,               0.006139,               0.006139,               0.006139
                     42,                 1.1839,                0.68046,                 1.0518,                0.89994,                0.83986,                0.92675,                0.62167,                 1.1506,                0.58822,                 1.0075,                0.00604,                0.00604,                0.00604
                     43,                 1.1845,                0.68265,                 1.0491,                0.90619,                0.83857,                0.92788,                0.62176,                 1.1484,                0.59111,                 1.0047,               0.005941,               0.005941,               0.005941
                     44,                 1.1779,                0.67554,                 1.0471,                0.90589,                0.84072,                0.92773,                 0.6229,                 1.1466,                0.58725,                 1.0053,               0.005842,               0.005842,               0.005842
                     45,                 1.1768,                0.67484,                 1.0467,                0.90678,                0.84274,                0.92915,                0.62328,                 1.1461,                0.58755,                  1.005,               0.005743,               0.005743,               0.005743
                     46,                 1.1789,                0.67721,                 1.0489,                0.90533,                0.84194,                0.92759,                0.62521,                 1.1411,                0.58471,                 1.0042,               0.005644,               0.005644,               0.005644
                     47,                 1.1749,                0.67457,                 1.0473,                 0.9069,                0.84051,                  0.929,                0.62537,                 1.1393,                0.58227,                 1.0042,               0.005545,               0.005545,               0.005545
                     48,                 1.1748,                0.67132,                 1.0452,                 0.9034,                0.84279,                0.92869,                0.62712,                 1.1377,                0.57988,                 1.0027,               0.005446,               0.005446,               0.005446
                     49,                  1.165,                0.66443,                 1.0414,                0.90635,                0.83959,                0.92975,                0.62868,                 1.1359,                0.57672,                  1.003,               0.005347,               0.005347,               0.005347
                     50,                 1.1697,                0.66766,                 1.0442,                0.90787,                0.83834,                0.93009,                 0.6275,                 1.1364,                0.57621,                  1.002,               0.005248,               0.005248,               0.005248
                     51,                 1.1651,                0.66574,                 1.0428,                0.90597,                 0.8392,                0.92909,                0.62721,                 1.1373,                0.57718,                 1.0016,               0.005149,               0.005149,               0.005149
                     52,                 1.1662,                0.66488,                 1.0421,                0.90336,                0.84115,                0.92918,                0.62899,                 1.1325,                0.57597,                 1.0006,                0.00505,                0.00505,                0.00505
                     53,                 1.1618,                0.66188,                  1.041,                0.90221,                0.84373,                  0.929,                0.62844,                  1.134,                0.57698,                 1.0011,               0.004951,               0.004951,               0.004951
                     54,                 1.1595,                0.65893,                  1.041,                0.90498,                0.84186,                0.92923,                0.62958,                  1.132,                 0.5756,                 1.0011,               0.004852,               0.004852,               0.004852
                     55,                 1.1566,                0.65895,                 1.0384,                0.90346,                0.84151,                0.92924,                0.62874,                 1.1334,                0.57473,                 1.0011,               0.004753,               0.004753,               0.004753
                     56,                 1.1534,                0.65305,                 1.0372,                0.90489,                0.84443,                 0.9298,                0.62941,                 1.1319,                0.57317,                0.99998,               0.004654,               0.004654,               0.004654
                     57,                 1.1513,                0.65246,                 1.0358,                0.91027,                0.83966,                0.92958,                0.62959,                 1.1312,                0.57244,                  0.999,               0.004555,               0.004555,               0.004555
                     58,                 1.1501,                0.65162,                 1.0335,                 0.9097,                 0.8415,                0.92998,                0.62938,                 1.1323,                0.57143,                0.99825,               0.004456,               0.004456,               0.004456
                     59,                 1.1457,                0.64838,                 1.0338,                0.90742,                0.84185,                0.93003,                0.62977,                 1.1314,                0.57032,                0.99804,               0.004357,               0.004357,               0.004357
                     60,                 1.1474,                0.64896,                 1.0341,                0.90579,                 0.8408,                0.92942,                0.62898,                 1.1295,                0.56956,                0.99754,               0.004258,               0.004258,               0.004258
                     61,                 1.1434,                0.64701,                 1.0333,                0.90334,                0.84513,                0.93022,                0.63004,                 1.1283,                0.56915,                0.99695,               0.004159,               0.004159,               0.004159
                     62,                 1.1433,                0.64297,                 1.0333,                0.90488,                0.84279,                0.93012,                0.63036,                 1.1283,                0.56974,                0.99667,                0.00406,                0.00406,                0.00406
                     63,                 1.1366,                0.63908,                 1.0328,                0.90307,                0.84572,                0.93061,                0.63118,                 1.1283,                0.56903,                0.99676,               0.003961,               0.003961,               0.003961
                     64,                  1.136,                0.63697,                 1.0294,                0.90247,                0.84506,                0.93173,                 0.6318,                 1.1275,                0.56802,                0.99625,               0.003862,               0.003862,               0.003862
                     65,                 1.1367,                0.63786,                 1.0283,                0.90516,                0.84362,                0.93199,                0.63213,                 1.1277,                0.56731,                0.99574,               0.003763,               0.003763,               0.003763
                     66,                 1.1314,                0.63592,                 1.0272,                0.90865,                0.84194,                0.93202,                0.63216,                 1.1274,                0.56596,                0.99556,               0.003664,               0.003664,               0.003664
                     67,                 1.1258,                0.63118,                 1.0262,                0.90727,                0.84424,                0.93149,                0.63213,                 1.1269,                 0.5648,                0.99541,               0.003565,               0.003565,               0.003565
                     68,                  1.127,                 0.6311,                 1.0264,                0.90906,                0.84255,                0.93187,                0.63268,                 1.1257,                 0.5637,                0.99497,               0.003466,               0.003466,               0.003466
                     69,                 1.1233,                 0.6296,                  1.023,                0.91196,                0.84037,                0.93214,                0.63309,                  1.125,                0.56314,                0.99463,               0.003367,               0.003367,               0.003367
                     70,                 1.1254,                0.62771,                 1.0232,                0.91187,                0.84179,                0.93252,                 0.6334,                 1.1248,                0.56282,                0.99446,               0.003268,               0.003268,               0.003268
                     71,                 1.1214,                0.62553,                 1.0232,                0.91315,                0.84103,                0.93258,                 0.6332,                 1.1244,                0.56238,                0.99436,               0.003169,               0.003169,               0.003169
                     72,                 1.1204,                0.62684,                 1.0256,                0.90871,                 0.8449,                 0.9327,                0.63277,                 1.1242,                0.56178,                0.99439,                0.00307,                0.00307,                0.00307
                     73,                 1.1213,                0.62419,                 1.0236,                0.90841,                0.84572,                  0.933,                0.63285,                 1.1241,                0.56144,                0.99432,               0.002971,               0.002971,               0.002971
                     74,                 1.1159,                0.62298,                 1.0214,                0.90919,                0.84549,                0.93299,                0.63281,                  1.124,                0.56083,                0.99426,               0.002872,               0.002872,               0.002872
                     75,                 1.1118,                0.61785,                 1.0196,                0.90923,                0.84596,                0.93306,                 0.6332,                 1.1238,                0.56064,                0.99417,               0.002773,               0.002773,               0.002773
                     76,                 1.1101,                0.61487,                 1.0188,                0.90826,                0.84654,                0.93335,                0.63326,                 1.1237,                0.55996,                 0.9943,               0.002674,               0.002674,               0.002674
                     77,                 1.1081,                0.61341,                 1.0174,                0.90999,                0.84513,                0.93337,                0.63363,                 1.1236,                0.55971,                0.99416,               0.002575,               0.002575,               0.002575
                     78,                 1.1044,                0.61206,                 1.0154,                0.91027,                0.84443,                0.93323,                0.63378,                 1.1235,                0.55907,                0.99418,               0.002476,               0.002476,               0.002476
                     79,                 1.1026,                0.61276,                 1.0156,                0.90896,                0.84623,                0.93351,                0.63388,                 1.1235,                0.55876,                0.99403,               0.002377,               0.002377,               0.002377
                     80,                 1.0993,                0.60793,                  1.015,                0.91095,                0.84549,                0.93353,                0.63384,                 1.1237,                0.55839,                0.99393,               0.002278,               0.002278,               0.002278
                     81,                 1.0945,                 0.6033,                 1.0119,                0.90868,                 0.8476,                 0.9334,                0.63398,                 1.1237,                0.55808,                0.99395,               0.002179,               0.002179,               0.002179
                     82,                 1.0995,                0.60418,                 1.0125,                0.90628,                0.84913,                0.93364,                0.63387,                 1.1237,                0.55776,                0.99396,                0.00208,                0.00208,                0.00208
                     83,                 1.0945,                0.60132,                 1.0106,                0.90864,                0.84886,                0.93378,                0.63407,                  1.124,                0.55732,                0.99398,               0.001981,               0.001981,               0.001981
                     84,                 1.0904,                0.59924,                 1.0097,                0.91229,                0.84502,                0.93336,                0.63396,                 1.1241,                0.55721,                0.99406,               0.001882,               0.001882,               0.001882
                     85,                 1.0892,                0.60036,                  1.008,                0.91192,                0.84596,                0.93355,                0.63417,                 1.1241,                 0.5571,                  0.994,               0.001783,               0.001783,               0.001783
                     86,                  1.086,                0.59984,                  1.011,                0.91153,                0.84549,                0.93348,                 0.6344,                  1.124,                0.55679,                0.99394,               0.001684,               0.001684,               0.001684
                     87,                 1.0778,                0.59167,                 1.0067,                0.91204,                0.84478,                0.93375,                0.63426,                 1.1238,                0.55673,                0.99382,               0.001585,               0.001585,               0.001585
                     88,                 1.0813,                0.59376,                 1.0065,                0.91177,                0.84443,                0.93368,                0.63436,                 1.1239,                0.55657,                0.99375,               0.001486,               0.001486,               0.001486
                     89,                 1.0767,                0.59123,                  1.005,                0.91217,                0.84502,                0.93375,                0.63442,                 1.1238,                0.55621,                0.99369,               0.001387,               0.001387,               0.001387
                     90,                 1.0722,                0.58736,                 1.0052,                0.91212,                0.84572,                0.93384,                0.63435,                 1.1235,                0.55591,                0.99351,               0.001288,               0.001288,               0.001288
                     91,                  1.039,                0.54094,                  0.977,                  0.912,                0.84561,                  0.934,                 0.6352,                 1.1234,                0.55576,                0.99341,               0.001189,               0.001189,               0.001189
                     92,                  1.026,                0.53296,                0.96961,                0.91136,                0.84491,                0.93408,                0.63539,                 1.1232,                0.55574,                0.99326,                0.00109,                0.00109,                0.00109
                     93,                 1.0201,                0.52876,                0.96801,                0.91152,                0.84538,                0.93388,                0.63522,                  1.123,                0.55521,                 0.9932,               0.000991,               0.000991,               0.000991
                     94,                 1.0156,                0.52306,                0.96678,                0.91181,                0.84479,                0.93401,                0.63565,                 1.1231,                0.55492,                0.99313,               0.000892,               0.000892,               0.000892
                     95,                 1.0082,                0.51909,                0.96457,                0.91153,                0.84553,                0.93392,                0.63591,                 1.1229,                0.55463,                 0.9931,               0.000793,               0.000793,               0.000793
                     96,                 1.0061,                0.51848,                 0.9643,                0.91144,                0.84642,                0.93393,                0.63614,                 1.1225,                0.55443,                0.99297,               0.000694,               0.000694,               0.000694
                     97,                 1.0053,                0.51795,                0.96296,                0.91148,                0.84625,                0.93374,                0.63631,                 1.1224,                0.55407,                0.99294,               0.000595,               0.000595,               0.000595
                     98,                 1.0029,                0.51465,                0.96326,                0.91167,                0.84525,                0.93376,                0.63627,                 1.1223,                 0.5537,                0.99286,               0.000496,               0.000496,               0.000496
                     99,                 0.9949,                0.51039,                0.96148,                0.91177,                0.84567,                0.93373,                0.63636,                 1.1223,                0.55383,                 0.9929,               0.000397,               0.000397,               0.000397
                    100,                0.99448,                0.51063,                0.96177,                0.91083,                0.84631,                0.93379,                0.63641,                 1.1222,                0.55345,                0.99284,               0.000298,               0.000298,               0.000298
